Date,BTC,ETH,BTC_MA50
2013-04-29 23:59:59,144.5399932861328,,
2013-04-30 23:59:59,139.0,,
2013-05-01 23:59:59,116.98999786376952,,
2013-05-02 23:59:59,105.20999908447266,,
2013-05-03 23:59:59,97.75,,
2013-05-04 23:59:59,112.5,,
2013-05-05 23:59:59,115.91000366210938,,
2013-05-06 23:59:59,112.3000030517578,,
2013-05-07 23:59:59,111.5,,
2013-05-08 23:59:59,113.56600189208984,,
2013-05-09 23:59:59,112.66999816894533,,
2013-05-10 23:59:59,117.1999969482422,,
2013-05-11 23:59:59,115.24299621582033,,
2013-05-12 23:59:59,115.0,,
2013-05-13 23:59:59,117.9800033569336,,
2013-05-14 23:59:59,111.5,,
2013-05-15 23:59:59,114.22000122070312,,
2013-05-16 23:59:59,118.76000213623048,,
2013-05-17 23:59:59,123.01499938964844,,
2013-05-18 23:59:59,123.4980010986328,,
2013-05-19 23:59:59,121.98999786376952,,
2013-05-20 23:59:59,122.0,,
2013-05-21 23:59:59,122.87999725341795,,
2013-05-22 23:59:59,123.88899993896484,,
2013-05-23 23:59:59,126.6999969482422,,
2013-05-24 23:59:59,133.1999969482422,,
2013-05-25 23:59:59,131.97999572753906,,
2013-05-26 23:59:59,133.47999572753906,,
2013-05-27 23:59:59,129.7449951171875,,
2013-05-28 23:59:59,129.0,,
2013-05-29 23:59:59,132.3000030517578,,
2013-05-30 23:59:59,128.7989959716797,,
2013-05-31 23:59:59,129.0,,
2013-06-01 23:59:59,129.3000030517578,,
2013-06-02 23:59:59,122.29199981689452,,
2013-06-03 23:59:59,122.22200012207033,,
2013-06-04 23:59:59,121.41999816894533,,
2013-06-05 23:59:59,121.6500015258789,,
2013-06-06 23:59:59,118.0,,
2013-06-07 23:59:59,111.5,,
2013-06-08 23:59:59,108.3000030517578,,
2013-06-09 23:59:59,100.0,,
2013-06-10 23:59:59,106.3499984741211,,
2013-06-11 23:59:59,108.9000015258789,,
2013-06-12 23:59:59,108.1500015258789,,
2013-06-13 23:59:59,104.0,,
2013-06-14 23:59:59,99.97889709472656,,
2013-06-15 23:59:59,99.98809814453124,,
2013-06-16 23:59:59,99.51000213623048,,
2013-06-17 23:59:59,101.6999969482422,,117.73151947021485
2013-06-18 23:59:59,107.4000015258789,,116.98871963500977
2013-06-19 23:59:59,108.25,,116.37371963500976
2013-06-20 23:59:59,110.1500015258789,,116.23691970825195
2013-06-21 23:59:59,109.5,,116.3227197265625
2013-06-22 23:59:59,108.3000030517578,,116.53371978759766
2013-06-23 23:59:59,107.5999984741211,,116.43571975708008
2013-06-24 23:59:59,102.73699951171876,,116.17225967407227
2013-06-25 23:59:59,103.9499969482422,,116.00525955200196
2013-06-26 23:59:59,104.0,,115.85525955200195
2013-06-27 23:59:59,101.43699645996094,,115.61267944335937
2013-06-28 23:59:59,94.64920043945312,,115.25226348876953
2013-06-29 23:59:59,94.99400329589844,,114.80814361572266
2013-06-30 23:59:59,96.61399841308594,,114.43556365966796
2013-07-01 23:59:59,88.05000305175781,,113.89656372070313
2013-07-02 23:59:59,90.13400268554688,,113.33964370727539
2013-07-03 23:59:59,77.52999877929688,,112.66024368286133
2013-07-04 23:59:59,80.52580261230469,,111.98635971069336
2013-07-05 23:59:59,68.43099975585938,,110.97977966308594
2013-07-06 23:59:59,70.27729797363281,,109.92502563476563
2013-07-07 23:59:59,74.56109619140625,,108.9462875366211
2013-07-08 23:59:59,76.51599884033203,,108.03680755615234
2013-07-09 23:59:59,76.69400024414062,,107.13068756103516
2013-07-10 23:59:59,86.76000213623047,,106.4082876586914
2013-07-11 23:59:59,88.9800033569336,,105.71010772705078
2013-07-12 23:59:59,93.59490203857422,,105.04800582885743
2013-07-13 23:59:59,98.13390350341795,,104.34668395996094
2013-07-14 23:59:59,94.69129943847656,,103.60091003417969
2013-07-15 23:59:59,98.40019989013672,,102.89931411743164
2013-07-16 23:59:59,97.45079803466795,,102.25343017578125
2013-07-17 23:59:59,98.5,,101.64343017578125
2013-07-18 23:59:59,90.58000183105467,,100.80903015136718
2013-07-19 23:59:59,92.16999816894533,,100.0764501953125
2013-07-20 23:59:59,89.39009857177734,,99.28425216674805
2013-07-21 23:59:59,90.7573013305664,,98.51339813232421
2013-07-22 23:59:59,91.61000061035156,,97.89975814819336
2013-07-23 23:59:59,95.55850219726562,,97.36648818969726
2013-07-24 23:59:59,94.51000213623048,,96.82828826904297
2013-07-25 23:59:59,96.9000015258789,,96.33328826904297
2013-07-26 23:59:59,96.02020263671876,,95.89369232177734
2013-07-27 23:59:59,94.11599731445312,,95.5460122680664
2013-07-28 23:59:59,99.75599670410156,,95.37513214111328
2013-07-29 23:59:59,101.1999969482422,,95.39913208007812
2013-07-30 23:59:59,107.98999786376952,,95.43193206787109
2013-07-31 23:59:59,106.08999633789062,,95.37573196411132
2013-08-01 23:59:59,104.0,,95.29273193359376
2013-08-02 23:59:59,104.5009994506836,,95.30275192260743
2013-08-03 23:59:59,104.00499725341795,,95.38327392578125
2013-08-04 23:59:59,105.1439971923828,,95.48639190673828
2013-08-05 23:59:59,106.22000122070312,,95.62059188842774
2013-08-06 23:59:59,106.75,,95.72159194946289
2013-08-07 23:59:59,106.75,,95.70859191894532
2013-08-08 23:59:59,103.0,,95.60359191894531
2013-08-09 23:59:59,102.8000030517578,,95.45659194946289
2013-08-10 23:59:59,103.0,,95.3265919494629
2013-08-11 23:59:59,105.0,,95.26059188842774
2013-08-12 23:59:59,106.63600158691406,,95.2413119506836
2013-08-13 23:59:59,109.0,,95.36657196044922
2013-08-14 23:59:59,112.56199645996094,,95.5388119506836
2013-08-15 23:59:59,109.98999786376952,,95.65861190795898
2013-08-16 23:59:59,108.99400329589844,,95.80975204467774
2013-08-17 23:59:59,113.5,,96.18676803588868
2013-08-18 23:59:59,113.5,,96.5568879699707
2013-08-19 23:59:59,119.0,,97.00460800170899
2013-08-20 23:59:59,121.20500183105467,,97.66770797729492
2013-08-21 23:59:59,123.3000030517578,,98.33102798461914
2013-08-22 23:59:59,121.1500015258789,,99.20342803955079
2013-08-23 23:59:59,118.5009994506836,,99.96293197631836
2013-08-24 23:59:59,120.04499816894533,,100.99521194458008
2013-08-25 23:59:59,122.11100006103516,,102.03188598632812
2013-08-26 23:59:59,120.05599975585938,,102.94178405761718
2013-08-27 23:59:59,126.5,,103.94146408081055
2013-08-28 23:59:59,122.62000274658205,,104.85998413085937
2013-08-29 23:59:59,122.38999938964844,,105.57258407592774
2013-08-30 23:59:59,133.49000549316406,,106.46278411865234
2013-08-31 23:59:59,135.35000610351562,,107.29788619995117
2013-09-01 23:59:59,138.33999633789062,,108.10200805664063
2013-09-02 23:59:59,135.85000610351562,,108.92518218994141
2013-09-03 23:59:59,136.77000427246094,,109.69257827758788
2013-09-04 23:59:59,126.73999786376952,,110.27836227416992
2013-09-05 23:59:59,126.43000030517578,,110.83696228027344
2013-09-06 23:59:59,119.1500015258789,,111.40836227416992
2013-09-07 23:59:59,124.1500015258789,,112.04796234130859
2013-09-08 23:59:59,121.66000366210938,,112.69336044311524
2013-09-09 23:59:59,127.11000061035156,,113.42041442871094
2013-09-10 23:59:59,125.91000366210938,,114.1064144897461
2013-09-11 23:59:59,135.25,,114.90024444580078
2013-09-12 23:59:59,133.1300048828125,,115.67264450073242
2013-09-13 23:59:59,134.97999572753906,,116.43424438476562
2013-09-14 23:59:59,129.22000122070312,,117.09824035644532
2013-09-15 23:59:59,130.3699951171875,,117.8233203125
2013-09-16 23:59:59,131.72000122070312,,118.46260040283204
2013-09-17 23:59:59,131.66000366210938,,119.07180053710937
2013-09-18 23:59:59,131.47000122070312,,119.54140060424805
2013-09-19 23:59:59,129.64999389648438,,120.01260055541992
2013-09-20 23:59:59,127.04000091552734,,120.47340057373047
2013-09-21 23:59:59,127.43000030517578,,120.93198059082032
2013-09-22 23:59:59,129.1199951171875,,121.4342805480957
2013-09-23 23:59:59,125.9499969482422,,121.85040054321288
2013-09-24 23:59:59,127.25,,122.27100051879883
2013-09-25 23:59:59,128.22000122070312,,122.7004005432129
2013-09-26 23:59:59,128.3800048828125,,123.13300064086914
2013-09-27 23:59:59,133.77999877929688,,123.74860061645508
2013-09-28 23:59:59,134.77999877929688,,124.38820053100586
2013-09-29 23:59:59,137.33999633789062,,125.07500045776368
2013-09-30 23:59:59,133.0,,125.63500045776367
2013-10-01 23:59:59,132.17999267578125,,126.14588027954102
2013-10-02 23:59:59,114.12999725341795,,126.24848022460938
2013-10-03 23:59:59,123.62999725341795,,126.46984024047852
2013-10-04 23:59:59,129.00999450683594,,126.85024017333984
2013-10-05 23:59:59,128.5500030517578,,127.24136016845704
2013-10-06 23:59:59,129.0,,127.55136016845704
2013-10-07 23:59:59,126.94000244140624,,127.82016021728515
2013-10-08 23:59:59,126.0,,127.96016021728515
2013-10-09 23:59:59,130.69000244140625,,128.1498602294922
2013-10-10 23:59:59,130.58999633789062,,128.29566009521486
2013-10-11 23:59:59,130.89999389648438,,128.49065994262696
2013-10-12 23:59:59,135.19000244140625,,128.8244400024414
2013-10-13 23:59:59,138.1300048828125,,129.18614013671876
2013-10-14 23:59:59,140.52000427246094,,129.55432022094726
2013-10-15 23:59:59,145.24000549316406,,130.05800033569335
2013-10-16 23:59:59,142.5500030517578,,130.37900039672851
2013-10-17 23:59:59,146.25,,130.85160034179688
2013-10-18 23:59:59,155.9600067138672,,131.52300048828124
2013-10-19 23:59:59,172.4199981689453,,132.30160034179687
2013-10-20 23:59:59,174.61000061035156,,133.08680023193358
2013-10-21 23:59:59,182.2100067138672,,133.96420043945312
2013-10-22 23:59:59,193.75999450683597,,135.12240020751952
2013-10-23 23:59:59,213.6199951171875,,136.65940002441405
2013-10-24 23:59:59,198.22999572753903,,138.08919998168946
2013-10-25 23:59:59,186.69000244140625,,139.29440002441407
2013-10-26 23:59:59,177.32000732421875,,140.45780014038087
2013-10-27 23:59:59,196.44000244140625,,141.9036001586914
2013-10-28 23:59:59,198.5500030517578,,143.44140014648437
2013-10-29 23:59:59,204.38999938964844,,144.9870001220703
2013-10-30 23:59:59,199.97000122070312,,146.4682000732422
